,1981-10-01,1982-10-01,1983-10-01,1984-10-01,1985-10-01,1986-10-01,1987-10-01,1988-10-01,1989-10-01,1990-10-01,1991-10-01,1992-10-01,1993-10-01,1994-10-01,1995-10-01,1996-10-01,1997-10-01,1998-10-01,1999-10-01,2000-10-01,2001-10-01,2002-10-01,2003-10-01,2004-10-01,2005-10-01,2006-10-01,2007-10-01,2008-10-01,2009-10-01,2010-10-01,2011-10-01,2012-10-01,2013-10-01,2014-10-01,2015-10-01,2016-10-01,2017-10-01,2018-10-01,2019-10-01
556,14.107741355895996,15.879032135009766,15.209354400634766,16.622257232666016,16.515483856201172,15.896127700805664,14.61129093170166,15.036128997802734,15.308710098266602,15.87645149230957,15.395483016967773,15.728063583374023,14.6651611328125,15.6358060836792,14.219354629516602,16.417741775512695,15.553547859191895,17.055160522460938,15.615160942077637,14.847097396850586,17.80193519592285,16.277097702026367,15.041291236877441,15.358063697814941,15.895160675048828,16.56774139404297,14.726773262023926,15.78193473815918,14.873547554016113,16.314193725585938,15.662580490112305,15.507741928100586,16.797740936279297,18.435483932495117,15.502257347106934,15.159031867980957,16.46354866027832,16.706449508666992,15.969676971435547
557,14.107741355895996,15.879032135009766,15.209354400634766,16.622257232666016,16.515483856201172,15.896127700805664,14.61129093170166,15.036128997802734,15.308710098266602,15.87645149230957,15.395483016967773,15.728063583374023,14.6651611328125,15.6358060836792,14.219354629516602,16.417741775512695,15.553547859191895,17.055160522460938,15.615160942077637,14.847097396850586,17.80193519592285,16.277097702026367,15.041291236877441,15.358063697814941,15.895160675048828,16.56774139404297,14.726773262023926,15.78193473815918,14.873547554016113,16.314193725585938,15.662580490112305,15.507741928100586,16.797740936279297,18.435483932495117,15.502257347106934,15.159031867980957,16.46354866027832,16.706449508666992,15.969676971435547
560,14.522257804870605,15.802257537841797,15.466452598571777,16.885160446166992,17.03548240661621,16.729677200317383,15.133870124816895,15.617419242858887,15.585805892944336,16.804515838623047,16.53774070739746,16.267419815063477,15.085161209106445,16.36838722229004,15.648709297180176,17.530323028564453,16.364839553833008,17.270000457763672,16.430644989013672,15.257418632507324,18.487741470336914,17.071611404418945,16.329355239868164,15.976774215698242,16.559032440185547,17.395484924316406,15.414837837219238,16.13677406311035,16.01645278930664,16.801612854003906,16.972579956054688,16.155160903930664,17.057743072509766,18.897417068481445,15.692256927490234,15.325161933898926,17.37645149230957,17.593225479125977,16.56838607788086
561,14.747419357299805,15.916450500488281,15.567418098449707,16.754837036132812,17.020000457763672,16.979677200317383,15.110645294189453,16.08386993408203,15.640000343322754,16.87516212463379,17.045162200927734,16.58322525024414,15.450966835021973,16.370323181152344,16.10999870300293,17.59225845336914,16.47451400756836,17.46225929260254,16.580324172973633,15.294193267822266,18.66225814819336,17.01709747314453,16.3890323638916,16.140644073486328,16.761289596557617,17.435161590576172,15.52258014678955,16.169031143188477,16.598388671875,16.989032745361328,17.179676055908203,16.292903900146484,17.20161247253418,18.876127243041992,15.924515724182129,15.264192581176758,17.533870697021484,17.952259063720703,16.518386840820312
562,15.983224868774414,17.713224411010742,16.469032287597656,17.537097930908203,17.88225746154785,17.991289138793945,15.928065299987793,17.720966339111328,16.50741958618164,17.523225784301758,18.154516220092773,18.19935417175293,16.720966339111328,16.66419219970703,17.232580184936523,17.596128463745117,16.961610794067383,18.428064346313477,17.491613388061523,16.501935958862305,19.803226470947266,18.01483726501465,17.11677360534668,17.682905197143555,17.761289596557617,17.830322265625,17.133548736572266,16.786128997802734,18.48064613342285,18.080322265625,17.569679260253906,18.13032341003418,18.460966110229492,19.424516677856445,17.66870880126953,16.454837799072266,19.016775131225586,19.42548179626465,17.95161247253418
564,15.787741661071777,17.205806732177734,16.589033126831055,17.749353408813477,18.46000099182129,17.48516082763672,16.11806297302246,16.70225715637207,16.458065032958984,17.334192276000977,16.53580665588379,17.75806427001953,15.930644035339355,17.408708572387695,15.697742462158203,17.884838104248047,17.19645118713379,18.060321807861328,16.613872528076172,16.374515533447266,18.826452255249023,17.630643844604492,16.867420196533203,17.201290130615234,17.83193588256836,17.603872299194336,17.1741943359375,16.814516067504883,16.690000534057617,17.638385772705078,17.1299991607666,17.094839096069336,17.41064453125,19.13677406311035,17.233224868774414,15.569677352905273,18.37870979309082,18.310321807861328,17.59064292907715
565,15.126128196716309,16.399354934692383,16.657419204711914,17.310321807861328,17.421934127807617,17.276126861572266,15.084193229675293,15.789031982421875,15.97290325164795,17.065805435180664,17.19806480407715,16.582582473754883,15.74774169921875,16.70677375793457,16.048709869384766,17.95161247253418,17.161611557006836,17.606775283813477,17.01645278930664,15.547419548034668,18.327743530273438,17.13677406311035,16.86612892150879,16.775484085083008,17.156129837036133,17.802257537841797,16.076128005981445,16.865806579589844,16.40032196044922,17.54096794128418,17.567419052124023,16.593225479125977,17.411935806274414,19.0974178314209,16.013227462768555,15.405160903930664,17.802579879760742,18.947420120239258,17.029354095458984
566,16.294837951660156,17.49032211303711,17.418386459350586,18.24903106689453,18.397741317749023,18.130001068115234,15.673225402832031,17.062578201293945,16.34290313720703,17.627094268798828,18.274517059326172,18.21257972717285,16.55645179748535,16.95161247253418,16.8845157623291,17.949678421020508,17.42322540283203,18.28193473815918,17.66741943359375,16.367420196533203,19.738710403442383,18.163551330566406,17.159677505493164,17.6651611328125,17.69870948791504,17.838708877563477,18.172903060913086,17.31386947631836,18.03193473815918,18.419031143188477,17.921287536621094,17.974838256835938,18.28096580505371,19.216449737548828,17.402902603149414,16.128387451171875,18.91387176513672,19.546772003173828,18.319355010986328
568,16.294837951660156,17.49032211303711,17.418386459350586,18.24903106689453,18.397741317749023,18.130001068115234,15.673225402832031,17.062578201293945,16.34290313720703,17.627094268798828,18.274517059326172,18.21257972717285,16.55645179748535,16.95161247253418,16.8845157623291,17.949678421020508,17.42322540283203,18.28193473815918,17.66741943359375,16.367420196533203,19.738710403442383,18.163551330566406,17.159677505493164,17.6651611328125,17.69870948791504,17.838708877563477,18.172903060913086,17.31386947631836,18.03193473815918,18.419031143188477,17.921287536621094,17.974838256835938,18.28096580505371,19.216449737548828,17.402902603149414,16.128387451171875,18.91387176513672,19.546772003173828,18.319355010986328
569,16.086450576782227,17.67064666748047,17.900644302368164,18.337417602539062,18.57870864868164,18.295808792114258,15.743870735168457,16.900644302368164,16.545162200927734,17.535160064697266,17.999677658081055,18.097097396850586,16.59903335571289,17.580644607543945,17.292903900146484,18.552257537841797,18.030643463134766,18.328384399414062,17.864192962646484,16.609678268432617,19.638385772705078,18.405807495117188,17.613548278808594,18.00516128540039,17.678386688232422,18.18613052368164,17.98516082763672,17.506452560424805,17.659997940063477,18.262903213500977,18.258710861206055,18.368064880371094,17.937740325927734,19.521934509277344,17.160322189331055,16.09967803955078,18.897741317749023,19.800968170166016,18.56838607788086
570,16.689353942871094,18.45322608947754,18.18903160095215,18.780643463134766,19.16677474975586,18.692256927490234,16.319032669067383,17.94612693786621,16.89870834350586,17.902257919311523,18.71870994567871,19.07677459716797,17.06838607788086,17.844839096069336,17.761611938476562,18.500322341918945,18.290645599365234,18.633548736572266,18.176773071289062,17.14419174194336,20.306774139404297,19.109031677246094,17.79935646057129,18.380643844604492,18.26741600036621,18.443225860595703,19.250322341918945,17.63387107849121,18.582258224487305,18.795804977416992,18.465805053710938,19.057418823242188,18.704195022583008,19.93806266784668,18.519031524658203,17.234516143798828,19.45967674255371,20.027095794677734,19.076128005981445
571,16.689353942871094,18.45322608947754,18.18903160095215,18.780643463134766,19.16677474975586,18.692256927490234,16.319032669067383,17.94612693786621,16.89870834350586,17.902257919311523,18.71870994567871,19.07677459716797,17.06838607788086,17.844839096069336,17.761611938476562,18.500322341918945,18.290645599365234,18.633548736572266,18.176773071289062,17.14419174194336,20.306774139404297,19.109031677246094,17.79935646057129,18.380643844604492,18.26741600036621,18.443225860595703,19.250322341918945,17.63387107849121,18.582258224487305,18.795804977416992,18.465805053710938,19.057418823242188,18.704195022583008,19.93806266784668,18.519031524658203,17.234516143798828,19.45967674255371,20.027095794677734,19.076128005981445
