,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01
556,21.075159072875977,22.3167724609375,23.530643463134766,22.050968170166016,22.733224868774414,22.779356002807617,21.88096809387207,22.90774154663086,22.948387145996094,21.949031829833984,21.79096794128418,22.661935806274414,20.48935317993164,23.12129020690918,22.20774269104004,23.17935562133789,21.61677360534668,21.55193519592285,23.225160598754883,22.95064353942871,22.975160598754883,22.519031524658203,22.221290588378906,23.502578735351562,22.766773223876953,23.256128311157227,22.634836196899414,22.557418823242188,23.40548324584961,24.110000610351562,22.749353408813477,22.70354652404785,23.749353408813477,24.336450576782227,23.46000099182129,23.43677520751953,23.755163192749023,23.089033126831055,23.670644760131836
557,21.075159072875977,22.3167724609375,23.530643463134766,22.050968170166016,22.733224868774414,22.779356002807617,21.88096809387207,22.90774154663086,22.948387145996094,21.949031829833984,21.79096794128418,22.661935806274414,20.48935317993164,23.12129020690918,22.20774269104004,23.17935562133789,21.61677360534668,21.55193519592285,23.225160598754883,22.95064353942871,22.975160598754883,22.519031524658203,22.221290588378906,23.502578735351562,22.766773223876953,23.256128311157227,22.634836196899414,22.557418823242188,23.40548324584961,24.110000610351562,22.749353408813477,22.70354652404785,23.749353408813477,24.336450576782227,23.46000099182129,23.43677520751953,23.755163192749023,23.089033126831055,23.670644760131836
560,21.87870979309082,23.20290184020996,24.19483757019043,22.42258071899414,23.46419334411621,23.0170955657959,22.724838256835938,23.354839324951172,23.182903289794922,22.305805206298828,22.597742080688477,23.172256469726562,21.11515998840332,23.415159225463867,22.527742385864258,23.819679260253906,22.138710021972656,21.922903060913086,23.422901153564453,23.659032821655273,23.16644859313965,23.43806266784668,22.399354934692383,23.682905197143555,23.406774520874023,23.61451530456543,23.584192276000977,22.86387062072754,23.93128776550293,24.442903518676758,23.110645294189453,23.250646591186523,24.683223724365234,24.75354766845703,23.779356002807617,24.045808792114258,23.960966110229492,23.936452865600586,23.86161231994629
561,22.012901306152344,23.324838638305664,24.224838256835938,22.456453323364258,23.555805206298828,23.047096252441406,23.024517059326172,23.3754825592041,23.208707809448242,22.39870834350586,22.787418365478516,23.290966033935547,21.36612892150879,23.435806274414062,22.610000610351562,23.972257614135742,22.18161392211914,22.15322494506836,23.530643463134766,23.744192123413086,23.31386947631836,23.495161056518555,22.44999885559082,23.823869705200195,23.402257919311523,23.85612678527832,23.560646057128906,22.980642318725586,24.04935646057129,24.37935447692871,23.1822566986084,23.430644989013672,24.925806045532227,24.875804901123047,23.750967025756836,23.990644454956055,23.96806526184082,24.0170955657959,23.98064613342285
562,22.3519344329834,23.474191665649414,24.603225708007812,22.569353103637695,23.86967658996582,23.278709411621094,23.341289520263672,23.382579803466797,23.594514846801758,22.929353713989258,23.520967483520508,23.845806121826172,22.25741958618164,23.494836807250977,22.891935348510742,24.29096794128418,22.341934204101562,22.94548225402832,23.799999237060547,24.15258026123047,23.5758056640625,23.585485458374023,22.87064552307129,24.363872528076172,23.679677963256836,24.43903160095215,23.770963668823242,23.46806526184082,24.879676818847656,24.25806427001953,23.474838256835938,23.850967407226562,25.474838256835938,25.277095794677734,24.400644302368164,23.69806480407715,24.277095794677734,24.706775665283203,24.631935119628906
564,21.89580726623535,22.331932067871094,24.69870948791504,22.644838333129883,24.278064727783203,23.193225860595703,23.000967025756836,23.166770935058594,22.92935562133789,22.27225685119629,23.775806427001953,23.73741912841797,22.194194793701172,23.741289138793945,22.68161392211914,24.021610260009766,22.76709747314453,22.772579193115234,24.003870010375977,23.530323028564453,23.589031219482422,24.070322036743164,22.59290313720703,24.370967864990234,24.522258758544922,25.03935432434082,23.819032669067383,23.071611404418945,24.34193229675293,24.177419662475586,23.555160522460938,24.218708038330078,25.388063430786133,25.54903221130371,23.935161590576172,23.743871688842773,24.074514389038086,24.29838752746582,24.234514236450195
565,22.426773071289062,23.320968627929688,24.47161293029785,22.432579040527344,23.757741928100586,23.17258071899414,22.888063430786133,23.365482330322266,23.309999465942383,22.442256927490234,22.843547821044922,23.4774169921875,21.851932525634766,23.561613082885742,22.792903900146484,24.099353790283203,22.340965270996094,22.25741958618164,23.58774185180664,23.963224411010742,23.546772003173828,23.85419273376465,22.608064651489258,23.98354721069336,23.67064666748047,23.9783878326416,23.84290313720703,22.80290412902832,24.139999389648438,24.60322380065918,23.259675979614258,23.40483856201172,25.001935958862305,24.906450271606445,24.029674530029297,24.19419288635254,24.053871154785156,24.318063735961914,24.045482635498047
566,22.654516220092773,23.600645065307617,24.77225685119629,22.638063430786133,24.024192810058594,23.50741958618164,23.42096710205078,23.523225784301758,23.70516014099121,23.049999237060547,23.54161262512207,24.05870819091797,22.53935432434082,23.73967742919922,22.889999389648438,24.380321502685547,22.47451400756836,22.973548889160156,23.933547973632812,24.229999542236328,23.722904205322266,24.002578735351562,22.997421264648438,24.349031448364258,24.155481338500977,24.479354858398438,24.068710327148438,23.403549194335938,24.844839096069336,24.56838607788086,23.596450805664062,23.925161361694336,25.518709182739258,25.199678421020508,24.44193458557129,24.090965270996094,24.31548500061035,24.91290283203125,24.62483787536621
568,22.654516220092773,23.600645065307617,24.77225685119629,22.638063430786133,24.024192810058594,23.50741958618164,23.42096710205078,23.523225784301758,23.70516014099121,23.049999237060547,23.54161262512207,24.05870819091797,22.53935432434082,23.73967742919922,22.889999389648438,24.380321502685547,22.47451400756836,22.973548889160156,23.933547973632812,24.229999542236328,23.722904205322266,24.002578735351562,22.997421264648438,24.349031448364258,24.155481338500977,24.479354858398438,24.068710327148438,23.403549194335938,24.844839096069336,24.56838607788086,23.596450805664062,23.925161361694336,25.518709182739258,25.199678421020508,24.44193458557129,24.090965270996094,24.31548500061035,24.91290283203125,24.62483787536621
569,22.82290267944336,23.348709106445312,24.702903747558594,22.751934051513672,24.242258071899414,23.631290435791016,23.42483901977539,23.56774139404297,23.560321807861328,23.193225860595703,23.76193618774414,24.01032066345215,22.417097091674805,24.03193473815918,23.300321578979492,24.384517669677734,23.05645179748535,23.08322525024414,23.947420120239258,24.392902374267578,24.080322265625,24.395160675048828,23.220321655273438,24.68903160095215,24.43677520751953,24.41161346435547,24.513547897338867,23.29741859436035,24.730968475341797,24.95322608947754,23.814838409423828,23.80387306213379,25.720966339111328,25.386127471923828,24.54193687438965,24.41870880126953,24.36387062072754,24.986774444580078,24.549030303955078
570,22.96193504333496,23.740644454956055,24.977096557617188,22.912580490112305,24.286775588989258,23.817419052124023,23.82225799560547,23.740966796875,23.849353790283203,23.345806121826172,24.1064510345459,24.359355926513672,22.86128807067871,24.196773529052734,23.1561279296875,24.574514389038086,23.10967445373535,23.392580032348633,24.067094802856445,24.45258140563965,24.15258026123047,24.483224868774414,23.296451568603516,24.711933135986328,24.752256393432617,24.735483169555664,24.548063278198242,23.705806732177734,25.20967674255371,24.79483985900879,23.881935119628906,24.154191970825195,25.845806121826172,25.592256546020508,24.720321655273438,24.231613159179688,24.516128540039062,25.28806495666504,24.967741012573242
571,22.96193504333496,23.740644454956055,24.977096557617188,22.912580490112305,24.286775588989258,23.817419052124023,23.82225799560547,23.740966796875,23.849353790283203,23.345806121826172,24.1064510345459,24.359355926513672,22.86128807067871,24.196773529052734,23.1561279296875,24.574514389038086,23.10967445373535,23.392580032348633,24.067094802856445,24.45258140563965,24.15258026123047,24.483224868774414,23.296451568603516,24.711933135986328,24.752256393432617,24.735483169555664,24.548063278198242,23.705806732177734,25.20967674255371,24.79483985900879,23.881935119628906,24.154191970825195,25.845806121826172,25.592256546020508,24.720321655273438,24.231613159179688,24.516128540039062,25.28806495666504,24.967741012573242
573,23.113872528076172,23.87870979309082,24.349031448364258,23.325159072875977,24.787738800048828,24.09515953063965,24.200000762939453,23.5496768951416,23.613872528076172,23.495805740356445,24.53999900817871,24.524839401245117,22.867094039916992,25.047096252441406,23.269676208496094,24.703548431396484,24.20806312561035,23.482255935668945,24.23516082763672,24.669355392456055,24.575483322143555,24.70903205871582,23.78129005432129,24.829999923706055,24.979354858398438,24.339033126831055,24.728708267211914,23.445161819458008,25.538707733154297,25.22903060913086,23.94354820251465,24.480321884155273,26.018709182739258,25.809999465942383,24.619029998779297,25.542579650878906,24.549354553222656,25.81838607788086,25.356128692626953
574,23.113872528076172,23.87870979309082,24.349031448364258,23.325159072875977,24.787738800048828,24.09515953063965,24.200000762939453,23.5496768951416,23.613872528076172,23.495805740356445,24.53999900817871,24.524839401245117,22.867094039916992,25.047096252441406,23.269676208496094,24.703548431396484,24.20806312561035,23.482255935668945,24.23516082763672,24.669355392456055,24.575483322143555,24.70903205871582,23.78129005432129,24.829999923706055,24.979354858398438,24.339033126831055,24.728708267211914,23.445161819458008,25.538707733154297,25.22903060913086,23.94354820251465,24.480321884155273,26.018709182739258,25.809999465942383,24.619029998779297,25.542579650878906,24.549354553222656,25.81838607788086,25.356128692626953
576,23.382902145385742,24.16064453125,24.532581329345703,23.551288604736328,25.413549423217773,24.624515533447266,25.060321807861328,23.49677276611328,23.655805587768555,23.625484466552734,24.93903160095215,24.765483856201172,23.53129005432129,25.233545303344727,24.018062591552734,24.158708572387695,24.748064041137695,24.30290412902832,24.372257232666016,24.653549194335938,24.969032287597656,24.91741943359375,24.052579879760742,25.047096252441406,25.20225715637207,24.73967742919922,24.940000534057617,23.185161590576172,25.970966339111328,25.295162200927734,23.937419891357422,24.843549728393555,26.249677658081055,26.437744140625,24.509675979614258,26.499998092651367,24.81774139404297,25.77903175354004,25.550643920898438
579,23.89806365966797,24.859031677246094,24.058387756347656,23.16806411743164,25.392902374267578,25.075483322143555,25.368709564208984,23.67322540283203,23.249353408813477,23.79290199279785,24.687095642089844,24.12257957458496,23.738388061523438,25.4322566986084,23.74258041381836,24.624515533447266,25.10709571838379,24.69902992248535,24.45161247253418,24.65709686279297,24.999677658081055,25.057096481323242,24.043224334716797,24.805805206298828,24.85322380065918,24.058387756347656,24.53580665588379,22.93161392211914,25.72161293029785,24.386449813842773,23.493547439575195,24.5,25.406774520874023,26.20096778869629,24.297096252441406,26.747419357299805,24.245161056518555,25.21806526184082,25.079030990600586
580,24.320322036743164,25.808385848999023,25.52967643737793,24.05097007751465,25.742902755737305,24.97258186340332,25.69709587097168,24.477418899536133,24.519676208496094,24.327096939086914,25.36322593688965,24.9774169921875,24.249677658081055,25.349353790283203,24.505163192749023,25.570642471313477,25.535160064697266,25.31645393371582,25.339353561401367,25.43806266784668,25.28645133972168,25.880321502685547,24.795482635498047,26.021291732788086,25.913225173950195,26.044193267822266,25.468385696411133,24.223224639892578,26.53548240661621,25.58160972595215,24.774517059326172,25.332260131835938,26.773225784301758,26.739675521850586,26.19645118713379,27.192258834838867,25.626131057739258,26.89419174194336,26.299678802490234
581,24.320322036743164,25.808385848999023,25.52967643737793,24.05097007751465,25.742902755737305,24.97258186340332,25.69709587097168,24.477418899536133,24.519676208496094,24.327096939086914,25.36322593688965,24.9774169921875,24.249677658081055,25.349353790283203,24.505163192749023,25.570642471313477,25.535160064697266,25.31645393371582,25.339353561401367,25.43806266784668,25.28645133972168,25.880321502685547,24.795482635498047,26.021291732788086,25.913225173950195,26.044193267822266,25.468385696411133,24.223224639892578,26.53548240661621,25.58160972595215,24.774517059326172,25.332260131835938,26.773225784301758,26.739675521850586,26.19645118713379,27.192258834838867,25.626131057739258,26.89419174194336,26.299678802490234
582,24.382902145385742,25.957740783691406,24.729999542236328,23.680967330932617,25.505483627319336,24.975482940673828,25.414514541625977,24.57483673095703,23.41870880126953,24.051612854003906,24.701290130615234,24.403549194335938,23.71354866027832,25.3970947265625,23.690967559814453,25.337417602539062,25.255163192749023,25.113548278808594,24.52290153503418,24.860319137573242,25.023548126220703,25.48290252685547,24.46709632873535,24.87967872619629,25.139352798461914,24.491613388061523,24.501934051513672,23.329999923706055,25.99838638305664,24.75741958618164,23.40709686279297,24.431612014770508,25.266775131225586,26.417095184326172,25.33193588256836,26.78870964050293,24.641935348510742,25.90935516357422,24.96806526184082
583,24.45451545715332,25.96999740600586,25.233871459960938,23.94161033630371,25.690967559814453,25.054838180541992,25.65838623046875,24.607418060302734,23.734193801879883,24.239999771118164,25.029354095458984,24.579355239868164,23.986772537231445,25.57677459716797,23.921937942504883,25.51645278930664,25.47161293029785,25.331289291381836,24.84903335571289,25.144838333129883,25.199352264404297,25.796772003173828,24.722257614135742,25.511289596557617,25.463546752929688,25.26386833190918,25.004194259643555,23.72774314880371,26.528709411621094,25.097095489501953,24.069032669067383,24.790645599365234,25.896451950073242,26.586774826049805,25.929031372070312,27.164514541625977,25.062257766723633,26.481613159179688,25.56999969482422
584,24.504194259643555,25.87612533569336,26.24645233154297,24.432903289794922,26.045804977416992,25.068708419799805,25.915481567382812,24.72225570678711,24.257095336914062,24.433225631713867,25.659997940063477,24.899677276611328,24.48516273498535,25.785160064697266,24.393224716186523,25.748708724975586,25.813547134399414,25.84064483642578,25.37967872619629,25.70064353942871,25.421289443969727,26.12935447692871,24.960643768310547,26.173547744750977,26.06612777709961,26.096450805664062,25.57677459716797,24.164838790893555,27.401288986206055,25.604839324951172,24.899354934692383,25.201290130615234,26.866451263427734,26.79258155822754,26.614517211914062,27.736772537231445,25.80290412902832,27.474193572998047,26.446773529052734
