,1981-11-01,1982-11-01,1983-11-01,1984-11-01,1985-11-01,1986-11-01,1987-11-01,1988-11-01,1989-11-01,1990-11-01,1991-11-01,1992-11-01,1993-11-01,1994-11-01,1995-11-01,1996-11-01,1997-11-01,1998-11-01,1999-11-01,2000-11-01,2001-11-01,2002-11-01,2003-11-01,2004-11-01,2005-11-01,2006-11-01,2007-11-01,2008-11-01,2009-11-01,2010-11-01,2011-11-01,2012-11-01,2013-11-01,2014-11-01,2015-11-01,2016-11-01,2017-11-01,2018-11-01,2019-11-01
556,18.03999900817871,17.494998931884766,18.54599952697754,18.28033447265625,19.48400115966797,17.420665740966797,17.482999801635742,16.86866569519043,17.669666290283203,18.613332748413086,17.678998947143555,16.91433334350586,16.10133171081543,17.146333694458008,18.344999313354492,19.53033447265625,17.76566505432129,19.13666534423828,18.428667068481445,17.23533058166504,18.590999603271484,17.856332778930664,17.33966636657715,17.39666748046875,19.454999923706055,17.9566650390625,17.330997467041016,19.467334747314453,18.1843318939209,17.458667755126953,18.357332229614258,18.98900032043457,18.305665969848633,19.70833396911621,17.854333877563477,16.963998794555664,18.017000198364258,19.21700096130371,19.795000076293945
557,18.03999900817871,17.494998931884766,18.54599952697754,18.28033447265625,19.48400115966797,17.420665740966797,17.482999801635742,16.86866569519043,17.669666290283203,18.613332748413086,17.678998947143555,16.91433334350586,16.10133171081543,17.146333694458008,18.344999313354492,19.53033447265625,17.76566505432129,19.13666534423828,18.428667068481445,17.23533058166504,18.590999603271484,17.856332778930664,17.33966636657715,17.39666748046875,19.454999923706055,17.9566650390625,17.330997467041016,19.467334747314453,18.1843318939209,17.458667755126953,18.357332229614258,18.98900032043457,18.305665969848633,19.70833396911621,17.854333877563477,16.963998794555664,18.017000198364258,19.21700096130371,19.795000076293945
560,18.19266700744629,17.628332138061523,19.21533203125,18.310333251953125,19.889665603637695,17.78566551208496,18.35033416748047,17.461666107177734,18.187000274658203,19.202999114990234,18.402666091918945,17.54599952697754,16.417333602905273,17.506000518798828,18.709665298461914,20.400667190551758,18.42366600036621,19.45233154296875,19.23866844177246,18.055665969848633,19.715665817260742,19.046667098999023,18.31833267211914,17.63100242614746,19.459665298461914,19.19499969482422,17.884666442871094,19.736331939697266,19.042333602905273,18.2983341217041,18.844331741333008,19.172664642333984,19.28766632080078,21.035999298095703,18.255332946777344,17.502330780029297,18.711666107177734,20.232332229614258,20.122333526611328
561,18.233667373657227,17.461999893188477,19.330331802368164,18.170000076293945,19.850000381469727,17.830665588378906,18.481998443603516,17.538999557495117,18.271333694458008,19.224666595458984,18.597665786743164,17.777666091918945,16.648666381835938,17.82466697692871,18.91233253479004,20.58766746520996,18.404333114624023,19.5570011138916,19.46533203125,18.15633201599121,20.123998641967773,19.025331497192383,18.538000106811523,17.733665466308594,19.523998260498047,19.59699821472168,18.293664932250977,19.694665908813477,19.260334014892578,18.553998947143555,19.10300064086914,19.231998443603516,19.440000534057617,21.18833351135254,18.18000030517578,17.589664459228516,19.01300048828125,20.46700096130371,20.10500144958496
562,18.769330978393555,17.90633201599121,19.71466827392578,18.805999755859375,20.03299903869629,18.799001693725586,19.05233383178711,18.543331146240234,18.44533348083496,19.957666397094727,19.196001052856445,18.62266731262207,17.670000076293945,19.433998107910156,19.80733299255371,20.967334747314453,18.8316650390625,19.955331802368164,19.946664810180664,18.973331451416016,21.01833152770996,19.744998931884766,19.36933135986328,18.843666076660156,20.031999588012695,20.33100128173828,20.53766632080078,20.051334381103516,20.580333709716797,19.528331756591797,19.94266700744629,20.47699737548828,20.158666610717773,21.64933204650879,19.12933349609375,18.66233253479004,20.195667266845703,21.364665985107422,21.238666534423828
564,19.52866554260254,18.81599998474121,20.327333450317383,19.055999755859375,20.661998748779297,19.279664993286133,18.71466636657715,18.283666610717773,18.994333267211914,19.30066680908203,18.994665145874023,18.848665237426758,17.81366539001465,19.573999404907227,19.553998947143555,20.621334075927734,19.607999801635742,19.713665008544922,19.668001174926758,19.372333526611328,20.70366668701172,19.772666931152344,19.722665786743164,19.1806640625,20.61499786376953,20.109996795654297,19.456666946411133,20.158666610717773,19.875333786010742,19.354999542236328,19.618999481201172,20.148332595825195,18.868663787841797,21.474666595458984,18.88166618347168,19.236331939697266,20.32266616821289,20.41266632080078,20.67333221435547
565,18.694332122802734,17.78733253479004,20.04399871826172,18.59166717529297,20.062000274658203,18.38633155822754,18.735998153686523,17.84166717529297,18.657331466674805,19.329334259033203,19.18866539001465,17.70366668701172,17.05733299255371,18.39699935913086,19.454668045043945,20.571998596191406,18.747333526611328,19.7810001373291,19.562665939331055,18.503332138061523,19.92799949645996,19.179332733154297,19.073665618896484,18.246000289916992,19.685998916625977,19.766666412353516,17.89066505432129,19.93433380126953,19.36333465576172,18.621667861938477,19.207332611083984,19.589664459228516,19.461666107177734,21.167333602905273,18.23466682434082,17.920997619628906,18.74866485595703,20.745332717895508,20.281333923339844
566,19.106664657592773,18.277997970581055,20.108667373657227,19.490331649780273,20.02899932861328,19.174999237060547,19.009666442871094,18.547332763671875,18.87766456604004,20.155668258666992,19.682666778564453,18.58766746520996,18.222665786743164,19.63466453552246,20.21266746520996,20.922998428344727,19.37066650390625,20.04399871826172,20.16899871826172,19.18866729736328,20.86833381652832,19.694665908813477,19.665332794189453,19.03333282470703,20.116666793823242,20.437665939331055,19.92333221435547,20.27866554260254,20.499666213989258,19.38566780090332,20.04599952697754,20.53333282470703,20.16699981689453,21.738000869750977,19.14800262451172,18.910001754760742,19.88133430480957,21.253665924072266,21.12333106994629
568,19.106664657592773,18.277997970581055,20.108667373657227,19.490331649780273,20.02899932861328,19.174999237060547,19.009666442871094,18.547332763671875,18.87766456604004,20.155668258666992,19.682666778564453,18.58766746520996,18.222665786743164,19.63466453552246,20.21266746520996,20.922998428344727,19.37066650390625,20.04399871826172,20.16899871826172,19.18866729736328,20.86833381652832,19.694665908813477,19.665332794189453,19.03333282470703,20.116666793823242,20.437665939331055,19.92333221435547,20.27866554260254,20.499666213989258,19.38566780090332,20.04599952697754,20.53333282470703,20.16699981689453,21.738000869750977,19.14800262451172,18.910001754760742,19.88133430480957,21.253665924072266,21.12333106994629
569,19.45199966430664,18.11766815185547,20.630332946777344,19.48466682434082,20.6163330078125,19.371334075927734,19.402666091918945,18.371667861938477,19.3613338470459,20.27466583251953,20.161664962768555,18.55299949645996,18.56599998474121,19.99866485595703,20.29166603088379,20.953332901000977,19.472665786743164,20.143667221069336,20.267332077026367,19.521665573120117,20.96533203125,19.753000259399414,19.86499786376953,19.55466651916504,19.957332611083984,20.359333038330078,19.427000045776367,20.52466583251953,20.533666610717773,19.328332901000977,20.095333099365234,20.634334564208984,20.411664962768555,21.64066505432129,19.08733367919922,18.339000701904297,19.779666900634766,21.349666595458984,21.275333404541016
