,1982-07-01,1983-07-01,1984-07-01,1985-07-01,1986-07-01,1987-07-01,1988-07-01,1989-07-01,1990-07-01,1991-07-01,1992-07-01,1993-07-01,1994-07-01,1995-07-01,1996-07-01,1997-07-01,1998-07-01,1999-07-01,2000-07-01,2001-07-01,2002-07-01,2003-07-01,2004-07-01,2005-07-01,2006-07-01,2007-07-01,2008-07-01,2009-07-01,2010-07-01,2011-07-01,2012-07-01,2013-07-01,2014-07-01,2015-07-01,2016-07-01,2017-07-01,2018-07-01,2019-07-01
556,12.554515838623047,11.589677810668945,11.884193420410156,14.486452102661133,14.211612701416016,12.429677963256836,11.766129493713379,13.564516067504883,13.127418518066406,12.266450881958008,13.807417869567871,12.637096405029297,12.837096214294434,12.20677375793457,11.65838623046875,12.999354362487793,14.287418365478516,13.425806045532227,12.115806579589844,13.987096786499023,13.213225364685059,12.661290168762207,13.264837265014648,14.236452102661133,14.145161628723145,11.954193115234375,13.911935806274414,12.811612129211426,13.733224868774414,12.533547401428223,12.499676704406738,12.26516056060791,14.209677696228027,14.400967597961426,11.487419128417969,14.636774063110352,12.512579917907715,13.07741928100586
557,12.554515838623047,11.589677810668945,11.884193420410156,14.486452102661133,14.211612701416016,12.429677963256836,11.766129493713379,13.564516067504883,13.127418518066406,12.266450881958008,13.807417869567871,12.637096405029297,12.837096214294434,12.20677375793457,11.65838623046875,12.999354362487793,14.287418365478516,13.425806045532227,12.115806579589844,13.987096786499023,13.213225364685059,12.661290168762207,13.264837265014648,14.236452102661133,14.145161628723145,11.954193115234375,13.911935806274414,12.811612129211426,13.733224868774414,12.533547401428223,12.499676704406738,12.26516056060791,14.209677696228027,14.400967597961426,11.487419128417969,14.636774063110352,12.512579917907715,13.07741928100586
560,12.970322608947754,12.316451072692871,12.52709674835205,15.040322303771973,14.946450233459473,13.139354705810547,13.343547821044922,14.388063430786133,13.783547401428223,13.691289901733398,15.728387832641602,14.101290702819824,13.8258056640625,14.251935005187988,12.467419624328613,13.784516334533691,14.854838371276855,14.324193000793457,13.151935577392578,15.394515037536621,14.535805702209473,13.449677467346191,13.95903205871582,15.345160484313965,14.758386611938477,12.433225631713867,14.60903263092041,13.474839210510254,13.867419242858887,13.579032897949219,13.128063201904297,12.74838638305664,14.979677200317383,14.839999198913574,12.057419776916504,15.215160369873047,13.37967586517334,14.455483436584473
561,13.219998359680176,12.471612930297852,12.820322036743164,15.337419509887695,15.16225814819336,13.260322570800781,14.2545166015625,14.925483703613281,14.22580623626709,14.30516242980957,16.385160446166992,15.118063926696777,14.435160636901855,15.0203218460083,13.21129035949707,14.047740936279297,15.068709373474121,14.757097244262695,13.817741394042969,16.277742385864258,15.425806045532227,14.049999237060547,14.221612930297852,16.05257797241211,15.322580337524414,12.990967750549316,15.08709716796875,14.39096736907959,13.960968017578125,14.397741317749023,13.981290817260742,13.274516105651855,15.494193077087402,15.13193416595459,12.897096633911133,15.405806541442871,14.250322341918945,15.198708534240723
562,15.338709831237793,13.66806411743164,14.907096862792969,16.679031372070312,16.547096252441406,14.240966796875,16.469999313354492,16.93000030517578,15.627741813659668,16.40548324584961,17.36903190612793,17.256450653076172,16.932903289794922,16.893871307373047,15.903870582580566,15.315160751342773,16.278064727783203,16.07419204711914,16.148386001586914,17.942903518676758,17.554515838623047,16.837417602539062,15.651289939880371,18.07290267944336,17.51483726501465,16.738388061523438,17.0667724609375,18.07806396484375,15.715160369873047,16.698711395263672,17.6470947265625,16.756772994995117,17.588708877563477,17.749353408813477,16.149032592773438,17.358064651489258,17.844837188720703,17.582258224487305
564,12.694515228271484,12.51741886138916,12.902580261230469,15.184515953063965,15.52645206451416,13.780966758728027,12.688709259033203,13.895806312561035,13.666773796081543,13.85451602935791,13.754193305969238,13.842580795288086,13.462580680847168,13.19161319732666,11.999032020568848,13.442258834838867,15.62741756439209,14.311934471130371,12.582902908325195,14.275806427001953,13.89161205291748,14.241935729980469,14.272257804870605,15.077740669250488,15.359354972839355,10.958065032958984,14.878063201904297,13.633871078491211,14.654515266418457,13.082903861999512,13.445160865783691,13.059354782104492,15.377418518066406,15.149353981018066,12.245160102844238,15.814839363098145,13.387419700622559,13.831289291381836
565,13.720967292785645,12.919676780700684,13.70838737487793,15.317096710205078,15.853870391845703,13.695484161376953,14.170001029968262,14.851935386657715,14.209677696228027,14.166129112243652,15.546451568603516,15.13096809387207,14.471612930297852,15.054515838623047,13.526128768920898,14.362580299377441,15.338386535644531,14.973871231079102,13.83096694946289,16.005483627319336,14.867419242858887,14.361934661865234,14.536772727966309,16.074193954467773,15.768709182739258,12.741935729980469,15.136774063110352,14.346451759338379,14.357741355895996,14.112580299377441,13.730966567993164,13.319355010986328,15.645161628723145,15.325483322143555,12.206128120422363,15.62645149230957,13.695805549621582,14.822580337524414
566,15.269678115844727,14.135161399841309,15.033870697021484,16.283870697021484,17.27741813659668,14.362903594970703,16.579030990600586,16.12322425842285,15.799999237060547,16.277742385864258,17.368709564208984,16.97161293029785,16.775808334350586,17.00806427001953,16.06548309326172,15.11903190612793,16.316450119018555,16.2148380279541,16.12257957458496,17.53580665588379,16.892257690429688,16.429677963256836,15.907419204711914,17.745161056518555,17.420000076293945,15.880000114440918,16.082902908325195,17.35354995727539,15.927741050720215,16.199031829833984,16.771291732788086,16.071613311767578,17.54483985900879,16.954837799072266,15.063870429992676,16.95967674255371,16.743871688842773,17.123868942260742
568,15.269678115844727,14.135161399841309,15.033870697021484,16.283870697021484,17.27741813659668,14.362903594970703,16.579030990600586,16.12322425842285,15.799999237060547,16.277742385864258,17.368709564208984,16.97161293029785,16.775808334350586,17.00806427001953,16.06548309326172,15.11903190612793,16.316450119018555,16.2148380279541,16.12257957458496,17.53580665588379,16.892257690429688,16.429677963256836,15.907419204711914,17.745161056518555,17.420000076293945,15.880000114440918,16.082902908325195,17.35354995727539,15.927741050720215,16.199031829833984,16.771291732788086,16.071613311767578,17.54483985900879,16.954837799072266,15.063870429992676,16.95967674255371,16.743871688842773,17.123868942260742
569,14.475483894348145,13.962579727172852,15.139354705810547,16.048063278198242,17.180320739746094,14.269353866577148,15.261935234069824,15.818387031555176,15.726129531860352,15.727095603942871,16.36161231994629,15.858063697814941,16.11806297302246,16.156450271606445,14.98870849609375,15.238387107849121,15.941935539245605,15.872902870178223,15.200322151184082,16.399032592773438,16.07451629638672,15.991291046142578,15.477742195129395,17.066452026367188,16.847740173339844,14.786128997802734,15.735161781311035,15.998710632324219,15.116127967834473,15.711935997009277,15.285160064697266,14.940967559814453,16.80645179748535,16.166128158569336,13.51903247833252,16.62032127380371,15.121613502502441,16.188709259033203
